id,title,difficulty,acceptance_rate,likes,related_topics,time_taken,difficulty_label,Cluster_label
40,Combination Sum II,Medium,50.4,2629,"Array,Backtracking",30,2,13
41,First Missing Positive,Hard,33.9,5504,Array,50,1,19
42,Trapping Rain Water,Hard,51.6,10683,"Array,Two Pointers,Dynamic Programming,Stack",50,1,10
43,Multiply Strings,Medium,35.1,2400,"Math,String",30,2,2
44,Wildcard Matching,Hard,25.5,2848,"String,Dynamic Programming,Backtracking,Greedy",50,1,15
45,Jump Game II,Medium,31.7,3908,"Array,Greedy",30,2,23
46,Permutations,Medium,67.1,5749,Backtracking,30,2,19
47,Permutations II,Medium,49.8,2871,Backtracking,30,2,23
48,Rotate Image,Medium,60.5,4619,Array,30,2,19
49,Group Anagrams,Medium,59.7,5182,"Hash Table,String",30,2,19
50,"Pow(x, n)",Medium,31.0,2263,"Math,Binary Search",30,2,2
51,N-Queens,Hard,50.2,2803,Backtracking,50,1,15
52,N-Queens II,Hard,60.5,790,Backtracking,50,1,6
53,Maximum Subarray,Easy,47.9,11458,"Array,Divide and Conquer,Dynamic Programming",15,0,10
54,Spiral Matrix,Medium,36.5,3671,Array,30,2,23
55,Jump Game,Medium,35.2,6024,"Array,Greedy",30,2,8
56,Merge Intervals,Medium,41.4,6955,"Array,Sort",30,2,8
57,Insert Interval,Medium,35.3,2753,"Array,Sort",30,2,2
58,Length of Last Word,Easy,33.5,1041,String,15,0,1
59,Spiral Matrix II,Medium,58.2,1602,Array,30,2,13
60,Permutation Sequence,Hard,39.5,2152,"Math,Backtracking",50,1,15
61,Rotate List,Medium,31.9,2242,"Linked List,Two Pointers",30,2,2
62,Unique Paths,Medium,56.3,4856,"Array,Dynamic Programming",30,2,19
63,Unique Paths II,Medium,35.4,2603,"Array,Dynamic Programming",30,2,2
64,Minimum Path Sum,Medium,56.5,4536,"Array,Dynamic Programming",30,2,19
65,Valid Number,Hard,16.0,902,"Math,String",50,1,11
66,Plus One,Easy,42.2,2251,Array,15,0,16
67,Add Binary,Easy,47.3,2668,"Math,String",15,0,16
68,Text Justification,Hard,30.1,987,String,50,1,11
69,Sqrt(x),Easy,35.4,1910,"Math,Binary Search",15,0,1
70,Climbing Stairs,Easy,48.8,6294,Dynamic Programming,15,0,8
71,Simplify Path,Medium,34.9,317,"String,Stack",30,2,4
72,Edit Distance,Hard,47.1,5416,"String,Dynamic Programming",50,1,19
73,Set Matrix Zeroes,Medium,44.6,3287,Array,30,2,23
74,Search a 2D Matrix,Medium,38.1,3110,"Array,Binary Search",30,2,23
75,Sort Colors,Medium,49.8,5114,"Array,Two Pointers,Sort",30,2,19
76,Minimum Window Substring,Hard,36.2,6350,"Hash Table,Two Pointers,String,Sliding Window",50,1,8
77,Combinations,Medium,57.9,2158,Backtracking,30,2,13
78,Subsets,Medium,65.6,5513,"Array,Backtracking,Bit Manipulation",30,2,19
79,Word Search,Medium,37.1,5459,"Array,Backtracking",30,2,19
80,Remove Duplicates from Sorted Array II,Medium,46.3,1794,"Array,Two Pointers",30,2,2
81,Search in Rotated Sorted Array II,Medium,33.7,2045,"Array,Binary Search",30,2,2
82,Remove Duplicates from Sorted List II,Medium,39.5,2818,Linked List,30,2,23
83,Remove Duplicates from Sorted List,Easy,46.7,2416,Linked List,15,0,16
84,Largest Rectangle in Histogram,Hard,37.4,5576,"Array,Stack",50,1,19
85,Maximal Rectangle,Hard,39.7,4086,"Array,Hash Table,Dynamic Programming,Stack",50,1,19
86,Partition List,Medium,43.7,1957,"Linked List,Two Pointers",30,2,2
87,Scramble String,Hard,34.8,760,"String,Dynamic Programming",50,1,11
88,Merge Sorted Array,Easy,40.9,3612,"Array,Two Pointers",15,0,20
89,Gray Code,Medium,50.7,811,Backtracking,30,2,5
90,Subsets II,Medium,49.1,2394,"Array,Backtracking",30,2,13
91,Decode Ways,Medium,26.9,4177,"String,Dynamic Programming",30,2,19
92,Reverse Linked List II,Medium,40.8,3501,Linked List,30,2,23
93,Restore IP Addresses,Medium,37.9,1718,"String,Backtracking",30,2,2
94,Binary Tree Inorder Traversal,Medium,66.3,4528,"Hash Table,Stack,Tree",30,2,19
95,Unique Binary Search Trees II,Medium,43.0,2977,"Dynamic Programming,Tree",30,2,23
96,Unique Binary Search Trees,Medium,54.7,4491,"Dynamic Programming,Tree",30,2,19
97,Interleaving String,Medium,32.8,1962,"String,Dynamic Programming",30,2,2
98,Validate Binary Search Tree,Medium,28.9,5790,,30,2,19
99,Recover Binary Search Tree,Hard,42.8,2361,"Tree,Depth-first Search",50,1,15
100,Same Tree,Easy,54.2,3109,"Tree,Depth-first Search",15,0,16
101,Symmetric Tree,Easy,48.4,5900,"Tree,Depth-first Search,Breadth-first Search",15,0,8
102,Binary Tree Level Order Traversal,Medium,57.0,4482,"Tree,Breadth-first Search",30,2,19
103,Binary Tree Zigzag Level Order Traversal,Medium,50.4,3290,"Stack,Tree,Breadth-first Search",30,2,23
104,Maximum Depth of Binary Tree,Easy,68.3,3779,"Tree,Depth-first Search,Recursion",15,0,20
105,Construct Binary Tree from Preorder and Inorder Traversal,Medium,52.4,4983,"Array,Tree,Depth-first Search",30,2,19
106,Construct Binary Tree from Inorder and Postorder Traversal,Medium,50.1,2555,"Array,Tree,Depth-first Search",30,2,13
107,Binary Tree Level Order Traversal II,Medium,55.5,2089,"Tree,Breadth-first Search",30,2,13
108,Convert Sorted Array to Binary Search Tree,Easy,60.9,3683,"Tree,Depth-first Search",15,0,20
109,Convert Sorted List to Binary Search Tree,Medium,50.6,2800,"Linked List,Depth-first Search",30,2,23
110,Balanced Binary Tree,Easy,44.8,3372,"Tree,Depth-first Search,Recursion",15,0,16
111,Minimum Depth of Binary Tree,Easy,39.8,2303,"Tree,Depth-first Search,Breadth-first Search",15,0,16
112,Path Sum,Easy,42.6,3000,"Tree,Depth-first Search",15,0,16
113,Path Sum II,Medium,49.5,2673,"Tree,Depth-first Search",30,2,13
114,Flatten Binary Tree to Linked List,Medium,52.4,4062,"Tree,Depth-first Search",30,2,23
115,Distinct Subsequences,Hard,40.0,1859,"String,Dynamic Programming",50,1,15
116,Populating Next Right Pointers in Each Node,Medium,49.6,3233,"Tree,Depth-first Search,Breadth-first Search",30,2,23
117,Populating Next Right Pointers in Each Node II,Medium,42.4,2356,"Tree,Depth-first Search",30,2,2
118,Pascal's Triangle,Easy,55.4,2364,Array,15,0,16
119,Pascal's Triangle II,Easy,52.5,1302,Array,15,0,21
120,Triangle,Medium,46.0,2753,"Array,Dynamic Programming",30,2,23
121,Best Time to Buy and Sell Stock,Easy,51.8,8132,"Array,Dynamic Programming",15,0,8
122,Best Time to Buy and Sell Stock II,Easy,58.8,3950,"Array,Greedy",15,0,20
123,Best Time to Buy and Sell Stock III,Hard,40.2,3417,"Array,Dynamic Programming",50,1,23
124,Binary Tree Maximum Path Sum,Hard,35.6,5446,"Tree,Depth-first Search,Recursion",50,1,19
125,Valid Palindrome,Easy,38.5,1871,"Two Pointers,String",15,0,1
126,Word Ladder II,Hard,23.8,2391,"Array,String,Backtracking,Breadth-first Search",50,1,15
127,Word Ladder,Hard,32.1,4859,Breadth-first Search,50,1,19
128,Longest Consecutive Sequence,Hard,46.5,4894,"Array,Union Find",50,1,19
129,Sum Root to Leaf Numbers,Medium,51.3,2200,"Tree,Depth-first Search",30,2,13
130,Surrounded Regions,Medium,29.8,2640,"Depth-first Search,Breadth-first Search,Union Find",30,2,2
131,Palindrome Partitioning,Medium,52.6,3232,"Dynamic Programming,Backtracking,Depth-first Search",30,2,23
132,Palindrome Partitioning II,Hard,31.4,1760,Dynamic Programming,50,1,15
133,Clone Graph,Medium,39.8,2906,"Depth-first Search,Breadth-first Search,Graph",30,2,23
134,Gas Station,Medium,41.5,2879,Greedy,30,2,23
135,Candy,Hard,33.3,1402,Greedy,50,1,15
136,Single Number,Easy,66.7,6010,"Hash Table,Bit Manipulation",15,0,8
137,Single Number II,Medium,54.1,2473,Bit Manipulation,30,2,13
138,Copy List with Random Pointer,Medium,41.4,4977,"Hash Table,Linked List",30,2,19
139,Word Break,Medium,41.9,6350,Dynamic Programming,30,2,8
140,Word Break II,Hard,35.3,3046,"Dynamic Programming,Backtracking",50,1,15
141,Linked List Cycle,Easy,43.1,4328,"Linked List,Two Pointers",15,0,20
142,Linked List Cycle II,Medium,40.0,3978,"Linked List,Two Pointers",30,2,23
143,Reorder List,Medium,41.0,3014,Linked List,30,2,23
144,Binary Tree Preorder Traversal,Medium,57.8,2189,"Stack,Tree",30,2,13
145,Binary Tree Postorder Traversal,Medium,58.0,2507,"Stack,Tree",30,2,13
146,LRU Cache,Medium,36.2,8181,Design,30,2,8
147,Insertion Sort List,Medium,44.6,1001,"Linked List,Sort",30,2,5
148,Sort List,Medium,46.7,4052,"Linked List,Sort",30,2,23
149,Max Points on a Line,Hard,17.6,85,"Hash Table,Math",50,1,11
150,Evaluate Reverse Polish Notation,Medium,38.2,1528,Stack,30,2,2
151,Reverse Words in a String,Medium,24.1,1583,String,30,2,2
152,Maximum Product Subarray,Medium,32.9,6539,"Array,Dynamic Programming",30,2,8
153,Find Minimum in Rotated Sorted Array,Medium,46.4,3315,"Array,Binary Search",30,2,23
154,Find Minimum in Rotated Sorted Array II,Hard,42.1,1504,"Array,Binary Search",50,1,15
155,Min Stack,Easy,46.8,4840,"Stack,Design",15,0,20
156,Binary Tree Upside Down,Medium,56.6,340,Tree,30,2,24
157,Read N Characters Given Read4,Easy,37.7,382,String,15,0,14
158,Read N Characters Given Read4 II - Call multiple times,Hard,37.4,627,String,50,1,11
159,Longest Substring with At Most Two Distinct Characters,Medium,50.7,1276,"Hash Table,Two Pointers,String,Sliding Window",30,2,5
160,Intersection of Two Linked Lists,Easy,44.5,5392,Linked List,15,0,20
161,One Edit Distance,Medium,33.2,838,String,30,2,4
162,Find Peak Element,Medium,44.1,2711,"Array,Binary Search",30,2,23
163,Missing Ranges,Easy,27.4,523,Array,15,0,14
164,Maximum Gap,Hard,37.1,1130,Sort,50,1,15
165,Compare Version Numbers,Medium,30.6,806,String,30,2,4
166,Fraction to Recurring Decimal,Medium,22.4,1109,"Hash Table,Math",30,2,4
167,Two Sum II - Input array is sorted,Easy,55.8,2517,"Array,Two Pointers,Binary Search",15,0,16
168,Excel Sheet Column Title,Easy,31.9,1637,Math,15,0,1
169,Majority Element,Easy,60.2,4854,"Array,Divide and Conquer,Bit Manipulation",15,0,20
170,Two Sum III - Data structure design,Easy,35.0,395,"Hash Table,Design",15,0,14
171,Excel Sheet Column Number,Easy,57.1,1621,Math,15,0,21
172,Factorial Trailing Zeroes,Easy,38.8,1246,Math,15,0,1
173,Binary Search Tree Iterator,Medium,60.6,3575,"Stack,Tree,Design",30,2,23
174,Dungeon Game,Hard,33.4,2256,"Binary Search,Dynamic Programming",50,1,15
175,Combine Two Tables,Easy,64.7,1163,,15,0,21
176,Second Highest Salary,Easy,33.5,1099,,15,0,1
177,Nth Highest Salary,Medium,33.6,608,,30,2,4
178,Rank Scores,Medium,51.0,912,,30,2,5
179,Largest Number,Medium,30.8,2922,Sort,30,2,2
180,Consecutive Numbers,Medium,42.6,586,,30,2,3
181,Employees Earning More Than Their Managers,Easy,61.0,794,,15,0,21
182,Duplicate Emails,Easy,65.0,627,,15,0,17
183,Customers Who Never Order,Easy,57.5,518,,15,0,17
184,Department Highest Salary,Medium,40.8,628,,30,2,4
185,Department Top Three Salaries,Hard,39.8,729,,50,1,9
186,Reverse Words in a String II,Medium,46.0,573,String,30,2,3
187,Repeated DNA Sequences,Medium,41.7,1167,"Hash Table,Bit Manipulation",30,2,5
188,Best Time to Buy and Sell Stock IV,Hard,30.0,2362,Dynamic Programming,50,1,15
189,Rotate Array,Medium,36.8,4368,Array,30,2,19
190,Reverse Bits,Easy,42.6,1662,Bit Manipulation,15,0,1
191,Number of 1 Bits,Easy,54.2,1430,Bit Manipulation,15,0,21
192,Word Frequency,Medium,25.6,259,,30,2,4
193,Valid Phone Numbers,Easy,25.4,187,,15,0,14
194,Transpose File,Medium,24.4,80,,30,2,4
195,Tenth Line,Easy,32.8,190,,15,0,14
196,Delete Duplicate Emails,Easy,45.9,556,,15,0,14
197,Rising Temperature,Easy,40.2,510,,15,0,14
198,House Robber,Medium,43.1,6793,Dynamic Programming,30,2,8
199,Binary Tree Right Side View,Medium,56.5,3717,"Tree,Depth-first Search,Breadth-first Search,Recursion,Queue",30,2,23
200,Number of Islands,Medium,49.5,8105,"Depth-first Search,Breadth-first Search,Union Find",30,2,8
201,Bitwise AND of Numbers Range,Medium,39.7,1340,Bit Manipulation,30,2,5
202,Happy Number,Easy,51.4,3050,"Hash Table,Math",15,0,16
203,Remove Linked List Elements,Easy,39.5,2585,Linked List,15,0,16
204,Count Primes,Easy,32.3,2882,"Hash Table,Math",15,0,16
205,Isomorphic Strings,Easy,40.6,1958,Hash Table,15,0,1
206,Reverse Linked List,Easy,65.7,6702,Linked List,15,0,8
207,Course Schedule,Medium,44.3,5575,"Depth-first Search,Breadth-first Search,Graph,Topological Sort",30,2,19
208,Implement Trie (Prefix Tree),Medium,52.5,4393,"Design,Trie",30,2,19
209,Minimum Size Subarray Sum,Medium,39.8,3583,"Array,Two Pointers,Binary Search",30,2,23
210,Course Schedule II,Medium,42.9,3552,"Depth-first Search,Breadth-first Search,Graph,Topological Sort",30,2,23
211,Design Add and Search Words Data Structure,Medium,40.6,2861,"Backtracking,Depth-first Search,Design,Trie",30,2,23
212,Word Search II,Hard,37.4,3594,"Backtracking,Trie",50,1,23
213,House Robber II,Medium,37.7,2745,Dynamic Programming,30,2,2
214,Shortest Palindrome,Hard,30.8,1586,String,50,1,15
215,Kth Largest Element in an Array,Medium,58.9,5413,"Divide and Conquer,Heap",30,2,19
216,Combination Sum III,Medium,60.6,1737,"Array,Backtracking",30,2,13
217,Contains Duplicate,Easy,56.9,1581,"Array,Hash Table",15,0,21
218,The Skyline Problem,Hard,36.6,2792,"Divide and Conquer,Heap,Binary Indexed Tree,Segment Tree,Line Sweep",50,1,15
219,Contains Duplicate II,Easy,38.8,1282,"Array,Hash Table",15,0,1
220,Contains Duplicate III,Medium,21.4,1564,"Sort,Ordered Map",30,2,2
221,Maximal Square,Medium,39.6,4434,Dynamic Programming,30,2,19
222,Count Complete Tree Nodes,Medium,49.7,2834,"Binary Search,Tree",30,2,23
223,Rectangle Area,Medium,38.3,532,Math,30,2,4
224,Basic Calculator,Hard,38.3,2131,"Math,Stack",50,1,15
225,Implement Stack using Queues,Easy,47.9,1016,"Stack,Design",15,0,21
226,Invert Binary Tree,Easy,67.3,4997,Tree,15,0,20
227,Basic Calculator II,Medium,38.8,2274,"String,Stack",30,2,2
228,Summary Ranges,Easy,42.7,971,Array,15,0,1
229,Majority Element II,Medium,39.0,2598,Array,30,2,2
230,Kth Smallest Element in a BST,Medium,62.9,3711,"Binary Search,Tree",30,2,23
231,Power of Two,Easy,43.8,1295,"Math,Bit Manipulation",15,0,1
232,Implement Queue using Stacks,Easy,52.7,1659,"Stack,Design",15,0,21
233,Number of Digit One,Hard,31.8,388,Math,50,1,11
234,Palindrome Linked List,Easy,41.9,5077,"Linked List,Two Pointers",15,0,20
235,Lowest Common Ancestor of a Binary Search Tree,Easy,52.1,2991,Tree,15,0,16
236,Lowest Common Ancestor of a Binary Tree,Medium,49.3,5470,Tree,30,2,19
237,Delete Node in a Linked List,Easy,67.4,2506,Linked List,15,0,16
238,Product of Array Except Self,Medium,61.4,7122,Array,30,2,8
239,Sliding Window Maximum,Hard,44.8,5504,"Heap,Sliding Window,Dequeue",50,1,19
240,Search a 2D Matrix II,Medium,45.3,4580,"Binary Search,Divide and Conquer",30,2,19
241,Different Ways to Add Parentheses,Medium,57.6,2137,Divide and Conquer,30,2,13
242,Valid Anagram,Easy,58.9,2484,"Hash Table,Sort",15,0,16
243,Shortest Word Distance,Easy,62.1,690,,15,0,17
244,Shortest Word Distance II,Medium,54.5,497,"Hash Table,Design",30,2,24
245,Shortest Word Distance III,Medium,56.1,254,Array,30,2,24
246,Strobogrammatic Number,Easy,46.4,315,"Hash Table,Math",15,0,14
247,Strobogrammatic Number II,Medium,48.8,549,"Math,Recursion",30,2,3
248,Strobogrammatic Number III,Hard,40.4,218,"Math,Recursion",50,1,11
249,Group Shifted Strings,Medium,58.5,733,"Hash Table,String",30,2,24
250,Count Univalue Subtrees,Medium,53.5,696,Tree,30,2,5
251,Flatten 2D Vector,Medium,46.4,435,Design,30,2,3
252,Meeting Rooms,Easy,55.5,892,Sort,15,0,21
253,Meeting Rooms II,Medium,47.1,3642,"Heap,Greedy,Sort",30,2,23
254,Factor Combinations,Medium,47.6,686,Backtracking,30,2,3
255,Verify Preorder Sequence in Binary Search Tree,Medium,46.4,743,"Stack,Tree",30,2,5
256,Paint House,Medium,53.9,1196,Dynamic Programming,30,2,5
257,Binary Tree Paths,Easy,54.0,2486,"Tree,Depth-first Search",15,0,16
258,Add Digits,Easy,58.7,1142,Math,15,0,21
259,3Sum Smaller,Medium,49.2,837,"Array,Two Pointers",30,2,5
260,Single Number III,Medium,65.4,2216,Bit Manipulation,30,2,13
261,Graph Valid Tree,Medium,43.3,1367,"Depth-first Search,Breadth-first Search,Union Find,Graph",30,2,5
262,Trips and Users,Hard,35.5,486,,50,1,11
263,Ugly Number,Easy,41.7,733,Math,15,0,14
264,Ugly Number II,Medium,43.0,2532,"Math,Dynamic Programming,Heap",30,2,2
265,Paint House II,Hard,45.9,628,Dynamic Programming,50,1,9
266,Palindrome Permutation,Easy,62.7,580,Hash Table,15,0,17
267,Palindrome Permutation II,Medium,37.6,554,Backtracking,30,2,4
268,Missing Number,Easy,55.2,2889,"Array,Math,Bit Manipulation",15,0,16
269,Alien Dictionary,Hard,33.8,2445,"Graph,Topological Sort",50,1,15
270,Closest Binary Search Tree Value,Easy,50.3,1022,"Binary Search,Tree",15,0,21
271,Encode and Decode Strings,Medium,33.0,567,String,30,2,4
272,Closest Binary Search Tree Value II,Hard,52.6,759,"Stack,Tree",50,1,9
273,Integer to English Words,Hard,28.3,1438,"Math,String",50,1,15
274,H-Index,Medium,36.4,887,"Hash Table,Sort",30,2,4
275,H-Index II,Medium,36.4,541,Binary Search,30,2,4
276,Paint Fence,Medium,39.2,906,Dynamic Programming,30,2,4
277,Find the Celebrity,Medium,44.0,1557,Array,30,2,5
278,First Bad Version,Easy,37.8,2109,Binary Search,15,0,16
279,Perfect Squares,Medium,49.2,4208,"Math,Dynamic Programming,Breadth-first Search",30,2,19
280,Wiggle Sort,Medium,64.8,731,"Array,Sort",30,2,22
281,Zigzag Iterator,Medium,59.6,448,Design,30,2,24
282,Expression Add Operators,Hard,36.9,1622,Divide and Conquer,50,1,15
283,Move Zeroes,Easy,58.7,5320,"Array,Two Pointers",15,0,20
284,Peeking Iterator,Medium,50.9,766,Design,30,2,5
285,Inorder Successor in BST,Medium,43.3,1493,Tree,30,2,5
286,Walls and Gates,Medium,56.9,1586,Breadth-first Search,30,2,5
287,Find the Duplicate Number,Medium,57.9,7163,"Array,Two Pointers,Binary Search",30,2,8
288,Unique Word Abbreviation,Medium,23.2,136,"Hash Table,Design",30,2,4
289,Game of Life,Medium,58.8,2582,Array,30,2,13
290,Word Pattern,Easy,38.4,1802,Hash Table,15,0,1
291,Word Pattern II,Medium,44.4,524,Backtracking,30,2,3
292,Nim Game,Easy,55.1,763,"Brainteaser,Minimax",15,0,21
293,Flip Game,Easy,61.5,128,String,15,0,17
294,Flip Game II,Medium,50.8,454,"Backtracking,Minimax",30,2,3
295,Find Median from Data Stream,Hard,47.4,3979,"Heap,Design",50,1,19
296,Best Meeting Point,Hard,58.2,597,"Math,Sort",50,1,6
297,Serialize and Deserialize Binary Tree,Hard,50.2,4145,"Tree,Design",50,1,19
298,Binary Tree Longest Consecutive Sequence,Medium,48.2,633,Tree,30,2,3
299,Bulls and Cows,Medium,44.7,934,Hash Table,30,2,5
300,Longest Increasing Subsequence,Medium,44.5,6891,"Binary Search,Dynamic Programming",30,2,8
301,Remove Invalid Parentheses,Hard,44.8,3281,"Depth-first Search,Breadth-first Search",50,1,23
302,Smallest Rectangle Enclosing Black Pixels,Hard,52.6,244,Binary Search,50,1,9
303,Range Sum Query - Immutable,Easy,48.2,1241,Dynamic Programming,15,0,21
304,Range Sum Query 2D - Immutable,Medium,41.1,1462,Dynamic Programming,30,2,5
305,Number of Islands II,Hard,39.6,1007,Union Find,50,1,9
306,Additive Number,Medium,29.7,516,Backtracking,30,2,4
307,Range Sum Query - Mutable,Medium,36.9,1761,"Binary Indexed Tree,Segment Tree",30,2,2
308,Range Sum Query 2D - Mutable,Hard,38.1,501,"Binary Indexed Tree,Segment Tree",50,1,11
309,Best Time to Buy and Sell Stock with Cooldown,Medium,48.3,3551,Dynamic Programming,30,2,23
310,Minimum Height Trees,Medium,34.9,3014,"Breadth-first Search,Graph",30,2,23
311,Sparse Matrix Multiplication,Medium,64.1,631,Hash Table,30,2,24
312,Burst Balloons,Hard,53.9,3483,"Divide and Conquer,Dynamic Programming",50,1,23
313,Super Ugly Number,Medium,46.3,836,"Math,Heap",30,2,5
314,Binary Tree Vertical Order Traversal,Medium,47.3,1428,"Depth-first Search,Breadth-first Search",30,2,5
315,Count of Smaller Numbers After Self,Hard,42.4,3332,"Binary Search,Divide and Conquer,Sort,Binary Indexed Tree,Segment Tree",50,1,23
316,Remove Duplicate Letters,Medium,39.3,2389,"String,Stack,Greedy",30,2,2
317,Shortest Distance from All Buildings,Hard,42.9,983,Breadth-first Search,50,1,9
318,Maximum Product of Word Lengths,Medium,52.4,1010,Bit Manipulation,30,2,5
319,Bulb Switcher,Medium,45.4,612,"Math,Brainteaser",30,2,3
320,Generalized Abbreviation,Medium,54.0,496,"Backtracking,Bit Manipulation",30,2,24
321,Create Maximum Number,Hard,27.6,927,"Dynamic Programming,Greedy",50,1,11
322,Coin Change,Medium,37.7,6593,Dynamic Programming,30,2,8
323,Number of Connected Components in an Undirected Graph,Medium,58.2,1120,"Depth-first Search,Breadth-first Search,Union Find,Graph",30,2,5
324,Wiggle Sort II,Medium,30.8,1350,Sort,30,2,2
325,Maximum Size Subarray Sum Equals k,Medium,47.6,1179,Hash Table,30,2,5
326,Power of Three,Easy,42.1,22,Math,15,0,14
327,Count of Range Sum,Hard,36.2,1016,"Binary Search,Divide and Conquer,Sort,Binary Indexed Tree,Segment Tree",50,1,11
328,Odd Even Linked List,Medium,57.2,2966,Linked List,30,2,23
329,Longest Increasing Path in a Matrix,Hard,45.4,2888,"Depth-first Search,Topological Sort,Memoization",50,1,15
330,Patching Array,Hard,35.1,630,Greedy,50,1,11
331,Verify Preorder Serialization of a Binary Tree,Medium,41.1,938,Stack,30,2,5
332,Reconstruct Itinerary,Medium,38.1,2621,"Depth-first Search,Graph",30,2,2
333,Largest BST Subtree,Medium,38.3,840,Tree,30,2,4
334,Increasing Triplet Subsequence,Medium,40.9,2380,,30,2,2
335,Self Crossing,Hard,28.7,177,Math,50,1,11
336,Palindrome Pairs,Hard,34.8,1742,"Hash Table,String,Trie",50,1,15
337,House Robber III,Medium,52.0,3919,"Dynamic Programming,Tree,Depth-first Search",30,2,23
338,Counting Bits,Medium,70.6,3759,"Dynamic Programming,Bit Manipulation",30,2,23
339,Nested List Weight Sum,Medium,76.8,799,"Depth-first Search,Breadth-first Search",30,2,22
340,Longest Substring with At Most K Distinct Characters,Medium,45.7,1579,"Hash Table,Two Pointers,String,Sliding Window",30,2,5
341,Flatten Nested List Iterator,Medium,54.8,2109,"Stack,Design",30,2,13
342,Power of Four,Easy,41.8,841,Bit Manipulation,15,0,1
343,Integer Break,Medium,51.4,1515,"Math,Dynamic Programming",30,2,5
344,Reverse String,Easy,70.7,2245,"Two Pointers,String",15,0,0
345,Reverse Vowels of a String,Easy,45.2,986,"Two Pointers,String",15,0,1
346,Moving Average from Data Stream,Easy,73.6,848,"Design,Queue",15,0,0
347,Top K Frequent Elements,Medium,62.6,4738,"Hash Table,Heap",30,2,19
348,Design Tic-Tac-Toe,Medium,55.7,1072,Design,30,2,5
349,Intersection of Two Arrays,Easy,65.3,1338,"Hash Table,Two Pointers,Binary Search,Sort",15,0,0
350,Intersection of Two Arrays II,Easy,52.1,2138,"Hash Table,Two Pointers,Binary Search,Sort",15,0,16
351,Android Unlock Patterns,Medium,49.8,470,"Dynamic Programming,Backtracking",30,2,3
352,Data Stream as Disjoint Intervals,Hard,48.8,473,"Binary Search,Ordered Map",50,1,9
353,Design Snake Game,Medium,36.2,531,"Design,Queue",30,2,4
354,Russian Doll Envelopes,Hard,37.7,1968,"Binary Search,Dynamic Programming",50,1,15
